clusterName,clusterSize,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,cluster
1,2956,0.611677479147359,0.744186046511628,56333,363,1900,1056,3,Pld5|Rmst|Rorb,Pld5|Kcnh5|Rmst|Rorb|Prr16|Zfhx4|Lingo2|Gpc6|Gabrg3|Dgkb,L4/5 IT CTX
2,2481,0.635748363474981,0.701775872627067,56684,487,1335,1146,4,Tafa2|Nell1|Cux1|Cadps2,Rorb|Tafa2|Nell1|Brinp3|Cux1|Cadps2|Zmat4|Kcnip4|Lrrtm4|Nkain2,L4/5 IT CTX
3,2449,0.597274013115597,0.697447447447448,56800,403,1520,929,2,Scn7a|Cpne4,Scn7a|Gm11639|Rmst|Adamtsl1|Cpne4|Il1rapl2|Zfp804b|Gpc6|Pcdh15|Cntn5,L4/5 IT CTX
4,2422,0.4321394565297,0.37936023147404,53369,3861,62,2360,1,Plp1,D7Ertd443e|Mog|Plp1|mt-Nd2|mt-Co1|mt-Nd1|mt-Nd3|mt-Atp6|mt-Co3|mt-Co2,Oligo
5,2343,0.730027548209367,0.843181818181818,57102,207,1230,1113,2,Deptor|Il1rapl2,Prrg1|Deptor|Il1rapl2|Gm49678|Scube1|Tox|Ndst3|Kcnip3|Ptprm|Slc24a3,L5 IT CTX
6,2320,0.821713147410359,0.884455032757594,57138,194,835,1485,2,Selplg|Hexb,C1qb|P2ry12|Gm2629|Csf3r|Selplg|Hexb|C1qa|Lyn|C1qc|Ctss,Micro
7,2309,0.565804859035988,0.646622123236823,56867,476,1438,871,3,6530403H02Rik|Rfx3|Cux1,6530403H02Rik|Gm48530|Adamts3|Rfx3|Tafa1|Cux1|Cux2|Cntnap5c|March1|Cacnb2,L2/3 IT CTX
8,2280,0.502349364289663,0.586763518966909,56860,512,1553,727,4,Bicc1|Kctd8|Zfhx4|Col19a1,Robo3|Bicc1|Kctd8|Zfhx4|Pde7b|Col19a1|Rasgrf2|Enpp2|Rgs20|Cux2,L2/3 IT CTX
9,2255,0.408087323244852,0.367597765363128,54567,2830,610,1645,2,D7Ertd443e|Plp1,D7Ertd443e|Mag|Plp1|mt-Co3|mt-Atp6|mt-Co2|mt-Nd4|mt-Nd1|mt-Nd2|mt-Co1,Oligo
10,2250,0.481549815498155,0.53265306122449,56715,687,1467,783,3,Igfn1|Gsg1l|Cux1,Igfn1|Trpc6|Cux2|Stxbp6|Gsg1l|Cux1|Nell1|Dgkb|Ncam2,L2/3 IT CTX
11,1997,0.417506156256996,0.392493861802876,55923,1732,878,1119,3,Nrp1|Tle4|Hs3st4,Syt6|Foxp2|Nrp1|Tle4|Hs3st4|Zfpm2|Sema5a|Garnl3|Pitpnc1|Kcnip4,L6 CT CTX
12,1940,0.479525862068966,0.588754134509372,57339,373,1406,534,2,Bdnf|B230216N24Rik,Nptx2|1700016P03Rik|Grasp|Bdnf|B230216N24Rik|Tsnax|Mapk4|Pdzd2|Cux2|Egfem1,L2/3 IT CTX
13,1932,0.535,0.697522816166884,57488,232,1397,535,3,Pld5|Chrm2|Cdh9,Onecut2|Ntng2|Pld5|Chrm2|Cdh9|Galnt14|Cdh18|Clstn2|Ptprt|Slc24a2,L6 IT CTX
14,1790,0.801824212271973,0.912264150943396,57769,93,823,967,2,Gm2164|Tafa1,Gm44593|Gm2164|Tafa1|Tmem163|Tox|Pex5l|Kcnn2|Hcn1|Grid2|Ralyl,L5 PT CTX
15,1766,0.44609784135905,0.40224589691909,55810,2076,369,1397,3,Gli3|Mertk|Ptprz1,Gm6145|Gli3|Plpp3|Mertk|Ptprz1|Rgs20|Msi2|mt-Cytb|mt-Nd1|mt-Co2,Astro
16,1755,0.923222887169756,0.992935635792779,57888,9,490,1265,2,Pdgfra|Vcan,Cspg4|Pdgfra|Plpp4|Cacng4|Kcnh8|Vcan|Lhfpl3|Megf11|Adam12|Gm2164,OPC
17,1694,0.536307546274324,0.717460317460318,57780,178,1242,452,3,Matn2|Ccbe1|Fbxl7,Matn2|Smoc2|Ccbe1|Itga8|Fbxl7|Dpyd|Rfx3|Egfem1|March1|Cdh13,L2/3 IT CTX
18,1612,0.353709822769601,0.321941216678059,56056,1984,670,942,3,Plpp3|Gja1|Mertk,Gm6145|Gli3|Ntsr2|Plpp3|Gja1|Mertk|Ptprz1|Rgs20|Apoe|Slc1a2,Astro
