clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
1,Pld5,0.005006891297423267,1.0,0.9038461538461539
1,Kcnh5,0.003623972953706542,6.0,0.9038461538461539
1,Prr16,0.003543183262569817,15.5,0.8660049627791563
1,Rmst,0.008050754026418501,3.0,0.8653846153846155
1,Rorb,0.005508829165625027,7.0,0.8598901098901099
1,Zfhx4,0.003945223731682516,2.0,0.8461538461538461
1,Lingo2,0.0035665163542162814,71.0,0.76056338028169
1,Gpc6,0.0035062077693737326,10.0,0.7048076923076922
1,Gabrg3,0.0038496423235536807,2.0,0.4230769230769231
1,Fam155a,0.004045114675787546,12.0,0.39903846153846145
2,Rorb,0.011066443523698257,13.0,0.9156804733727811
2,Tafa2,0.011896002130171064,17.0,0.8721719457013576
2,Nell1,0.006775257585975101,9.0,0.8696581196581198
2,Brinp3,0.007271780709620875,20.0,0.8538461538461536
2,Cux1,0.005407951967176354,7.0,0.8502747252747251
2,Cadps2,0.009063269017390357,10.0,0.8500000000000001
2,Zmat4,0.005451916849988335,8.0,0.7908653846153846
2,Kcnip4,0.006316931082998827,33.0,0.43939393939393934
2,Lrrtm4,0.00966336180564176,2.0,0.36538461538461536
2,Nkain2,0.00740532546308394,5.0,0.26153846153846155
3,Scn7a,0.006934382753952014,1.0,0.9807692307692307
3,Gm11639,0.003927049444341283,1.0,0.9807692307692307
3,Rmst,0.0066046769045773335,6.0,0.9294871794871794
3,Adamtsl1,0.005268116488291191,2.0,0.9230769230769231
3,Cpne4,0.0038600326160774467,9.0,0.9123931623931625
3,Il1rapl2,0.006735262669739942,9.0,0.8931623931623931
3,Zfp804b,0.007639677940195884,22.0,0.8819930069930069
3,Gpc6,0.005879237292284259,30.0,0.8746794871794871
3,Pcdh15,0.007367641755987891,44.0,0.8675699300699301
3,Cntn5,0.008358056087907361,42.0,0.8385989010989009
4,D7Ertd443e,0.0061395199368698625,1.0,0.9230769230769231
4,Mog,0.0048268640807133,1.0,0.9230769230769231
4,Plp1,0.008478128803403779,13.0,0.8979289940828402
4,mt-Nd3,0.005686394684977214,1.0,0.09615384615384616
4,mt-Nd2,0.005582711542417606,4.0,0.09615384615384616
4,mt-Atp6,0.0069681302939542345,9.0,0.08547008547008549
4,mt-Nd1,0.006927987300565481,5.0,0.08461538461538462
4,mt-Co1,0.005963300057414623,6.0,0.08333333333333333
4,mt-Co3,0.007167065554568426,9.0,0.07692307692307694
4,mt-Cytb,0.0062343161900199305,4.0,0.07211538461538461
5,Prrg1,0.0054637882996312545,1.0,1.0
5,Deptor,0.006739932001938131,3.0,0.980769230769231
5,Il1rapl2,0.016976801210054474,46.0,0.9644648829431438
5,Gm49678,0.011330458865588694,16.0,0.9375
5,Scube1,0.0048574654510344885,4.0,0.9326923076923077
5,Tox,0.0061761716887120555,13.0,0.8742603550295858
5,Ndst3,0.0036970811062603626,6.0,0.8621794871794872
5,Kcnip3,0.004343723954925496,4.0,0.8365384615384616
5,Slc24a3,0.005766335291758327,6.0,0.7900641025641028
5,Ptprm,0.006108142734998917,5.0,0.7884615384615385
6,C1qa,0.01710789047061029,2.0,0.9711538461538461
6,Selplg,0.009686560135330249,2.0,0.9711538461538461
6,Hexb,0.009020237406937887,5.0,0.9653846153846154
6,C1qb,0.01623520560257892,2.0,0.9615384615384616
6,P2ry12,0.013615620748418013,2.0,0.9615384615384616
6,Gm2629,0.012777453172940151,1.0,0.9615384615384616
6,Csf3r,0.012595796485931166,1.0,0.9615384615384616
6,C1qc,0.010221010188665591,2.0,0.9615384615384616
6,Lyn,0.011575600686477531,2.0,0.9519230769230769
6,Ctss,0.01001944789537157,2.0,0.9519230769230769
7,6530403H02Rik,0.0038550381477507854,1.0,0.9615384615384616
7,Gm48530,0.003622589611041181,4.0,0.9471153846153846
7,Adamts3,0.0035781079083862305,2.0,0.9134615384615384
7,Rfx3,0.004668775871499503,14.0,0.8708791208791209
7,Tafa1,0.0038408877892322957,30.0,0.8692307692307691
7,Cux1,0.004171527464356352,7.0,0.8502747252747251
7,Cux2,0.0037569439326195077,3.0,0.8205128205128205
7,Cntnap5c,0.0040393739234801905,2.0,0.8173076923076923
7,March1,0.006451325590386521,25.0,0.810769230769231
7,Cacnb2,0.0040552292415395215,12.0,0.8052884615384615
8,Robo3,0.003926414222153148,1.0,0.9807692307692307
8,Bicc1,0.0030317018617513035,2.0,0.9134615384615384
8,Kctd8,0.0037952807593028977,2.0,0.8846153846153846
8,Zfhx4,0.0032929263754192385,3.0,0.878205128205128
8,Pde7b,0.0032674217018214746,7.0,0.8543956043956041
8,Col19a1,0.004768612725147371,6.0,0.8493589743589743
8,Rasgrf2,0.0035141007346892223,7.0,0.848901098901099
8,Enpp2,0.004775307859084228,6.0,0.8429487179487178
