clusterName,clusterSize,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes
1,2706,0.562389293446172,0.613197424892704,59532,721,1563,1143,2,Anln|C030029H02Rik,Anln|C030029H02Rik|D7Ertd443e|Mag|St18|Plp1|Erbb4|Slc24a2
2,2575,0.699073517025629,0.810320781032078,60112,272,1413,1162,3,Cpa6|Sulf1|Foxp2,Cpa6|Sulf1|Zfpm2|Foxp2|Cntnap4|Hs3st4|Sdk2|Tle4|Grik3|Mgat4c
3,2554,0.503364066782955,0.590643274853801,59845,560,1746,808,3,Trpc6|Stxbp6|Slc9a9,Trpc6|Ccbe1|Stxbp6|Syn3|Slc9a9|Rasgrf2|Rgs6|Grik4|Dgkb|Il1rapl1
4,2522,0.534277620396601,0.498677948175569,58541,1896,636,1886,2,Slco1c1|Slc1a3,Gm6145|Slco1c1|Ntsr2|Slc1a3|Plpp3|Mertk|Ptprz1|Atp1a2|Bcan|Rorb
5,2466,0.652900091102338,0.83495145631068,60323,170,1606,860,3,Rmst|Zfp804b|Cpne4,Scn7a|Hgf|Rmst|Adamtsl1|Zfp804b|Cpne4|Il1rapl2|Pcdh15|Gpc6|Lcorl
6,2462,0.715519532288068,0.850710900473934,60308,189,1385,1077,2,Deptor|Il1rapl2,Deptor|Il1rapl2|Gm49678|Scube1|Arhgap42|Tox|Ptprm|Grik3|Pcdh15|Chsy3
7,2429,0.597162245527452,0.682170542635659,60079,451,1461,968,3,Pld5|Rorb|Rmst,Pld5|Rorb|Rmst|Prr16|A330008L17Rik|Brinp3|Zfhx4|Lingo2|Gpc6|Gabrg3
8,2337,0.618490345231129,0.681056701030928,60127,495,1280,1057,4,Brinp3|Nell1|Tafa2|Astn2,Rorb|Brinp3|Nell1|Tafa2|Unc5d|Astn2|Lrrtm4|Nkain2
9,2306,0.798634060365719,0.856467808623745,60410,243,856,1450,2,Siglech|Dock8,Siglech|Gpr34|Dock8|C1qa|Ctss|C1qc|Apbb1ip|Csf1r|Lyn|Ikzf1
10,2148,0.519901610017889,0.495207667731629,59389,1422,753,1395,2,Ptgds|Plp1,C030029H02Rik|Opalin|Ptgds|D7Ertd443e|Plp1|St18|Mag|Erbb4|Edil3
11,2051,0.542040737522927,0.540683678382282,59954,954,928,1123,3,Nhsl1|Gpc5|Mertk,Nhsl1|Gm6145|Gpc5|Bcan|Plpp3|Mertk|Ptprz1|Luzp2|Rorb|Slc1a2
12,1980,0.468397291196388,0.519968676585748,60366,613,1316,664,4,Robo3|Kctd8|Cdh12|Unc5d,Robo3|Kctd8|Cdh12|Plcb4|Unc5d|Rasgrf2|Hs6st3|Cntn5|Robo1|Nkain2
13,1927,0.581727337615989,0.859402460456942,60952,80,1438,489,4,Chrm2|Pld5|Cdh9|Cdh18,Ntng2|Chrm2|Galnt14|Pld5|Cdh9|Cdh18|Ptprt|Slc24a2|Tnr|Lrrtm4
14,1859,0.46089135493109,0.552575107296137,60683,417,1344,515,4,Bicc1|Zfhx4|Prr16|Col19a1,Robo3|Bicc1|Stard8|Zfhx4|Prr16|Col19a1|Enpp2|Rasgrf2|Man2a1|Rgs20
15,1796,0.770027624309392,0.892892892892893,61056,107,904,892,2,Gm2164|Tmem163,Trmt9b|Gm2164|Tcerg1l|Gm6260|Gm44593|Tmem163|Iqgap2|Rab3c|Kcnn2|Hcn1
16,1757,0.869432113883361,0.95142378559464,61144,58,621,1136,2,Pdgfra|Cspg4,Pdgfra|Emid1|Kcnh8|Cspg4|C1ql1|Calcrl|Cacng4|Lhfpl3|Ppfibp1|Ptprz1
17,1755,0.533504552883493,0.723101265822785,61029,175,1298,457,3,Matn2|Ccbe1|Fbxl7,Otof|Matn2|Ccbe1|Fbxl7|Smoc2|Itga8|Egfem1|Rfx3|March1|Robo1
18,1725,0.385444511511598,0.362236628849271,59660,1574,831,894,3,Foxp2|Thsd7b|Garnl3,Foxp2|Thsd7b|Zfpm2|Hs3st4|Tle4|Garnl3|Ephb1|Brinp3|Efna5|Cdk14
19,1635,0.393364458130525,0.375711574952562,60008,1316,843,792,4,A830036E02Rik|Cux1|Lrrtm4|Hs6st3,A830036E02Rik|Cux1|Pdzrn3|Rgs6|Lrrtm4|Hs6st3|Kirrel3|Trps1|Csmd3|Lsamp
20,1571,0.621411372476385,0.701149425287356,61102,286,900,671,2,Slc26a4|Sulf1,Slc26a4|Sulf1|Bmpr1b|Galnt14|Cdh9|Tenm3|Il1rapl2|Chrm2|Zfp804b|Trpm3
21,1535,0.436146377893951,0.452713178294574,60718,706,951,584,2,Sema5a|Garnl3,Sema5a|Rell1|Tle4|Zfpm2|Hs3st4|Garnl3|Hs3st2|Cdh18|Pdzrn4|Rapgef4
22,1465,0.867165575304023,0.955670103092783,61451,43,538,927,2,Sst|Grin3a,Sst|Grin3a|Elfn1|Lypd6b|Synpr|Unc13c|Sox6|Grik1|Nxph1|Kcnip1
23,1441,0.831017231795442,0.906976744186047,61426,92,544,897,2,6330411D24Rik|Pde5a,Pvalb|Eya4|6330411D24Rik|Pde5a|Tmem132c|Btbd11|Cemip|Cacna2d2|Cntnap4|Nek7
24,1185,0.887045309508615,0.948805460750853,61729,45,351,834,2,Tshz2|Vwc2l,Lcp1|Abi3bp|Stard5|Tshz2|Vwc2l|Etv1|Rnf152|Htr2c|Htr4|Olfm3
25,1034,0.829260843005498,0.969642857142857,61908,17,491,543,2,Tac1|Sh3rf2,Drd1|Rgs9|Tac1|Rarb|Sh3rf2|Adcy5|Gm10754|Ebf1|Spock3|Pard3
26,943,0.950973146095097,0.991014120667522,62009,7,171,772,2,Drd2|Rgs9,Drd2|Adora2a|Gpr6|Penk|Gpr88|Rgs9|Ppp1r1b|Rarb|Adcy5|Spock3
27,930,0.559465165376495,0.665271966527197,61869,160,612,318,3,Adamts18|Il1rapl2|Rmst,Adamts18|Gm11639|Slc26a4|Rspo2|Il1rapl2|Rmst|Cpne7|Zfp804b|Ntng1|C1ql3
28,915,0.391208791208791,0.523529411764706,61882,162,737,178,2,1700016P03Rik|Egr4,1700016P03Rik|Junb|Pak6|Btg2|Npas4|Egr4|Arc|Bdnf|B230216N24Rik|Mapk4
29,907,0.562365920931658,0.623089983022071,61830,222,540,367,4,Zfhx4|Rfx3|Cacnb2|Thsd7a,Gm48530|Itga8|Zfhx4|Rfx3|Cacnb2|Thsd7a|Inpp4b|Zbtb20|Cntn3|Nrxn3
30,795,0.807867931155603,0.896686159844055,62111,53,335,460,1,Ccn2,Ccn2|Gm41414|Svil|Atp10a|Rai14|C130073E24Rik|Inpp4b|Cdh18|Mmp16|Mctp1
31,779,0.922176140522079,0.910843373493976,62106,74,23,756,1,Vip,Vip|Tac2|Wnt5b|Igf1|Prox1|Adarb2|Synpr|Glra2|Zfp804a|Sorcs3
