clusterName,markerGene,score
1,Ptgds,0.3970788244338005
1,Plp1,0.3970788244338005
2,Stxbp6,0.39385715231349705
2,Adarb2,0.39385715231349705
2,Slc4a4,0.39385715231349705
2,Frmd4b,0.39385715231349705
3,Gm2629,0.8421370359191066
4,Gpc5,0.6439056939501779
4,Gm2164,0.6439056939501779
4,Pde11a,0.6439056939501779
4,Galntl6,0.6439056939501779
5,4930420G21Rik,0.3059574085721988
5,Neat1,0.3059574085721988
5,Prr5l,0.3059574085721988
5,D7Ertd443e,0.3059574085721988
6,Mndal,0.8219527760051053
6,Nectin3,0.8219527760051053
7,Stac,0.6281363557708947
7,Ndst4,0.6281363557708947
7,Hs6st3,0.6281363557708947
7,Galntl6,0.6281363557708947
8,Trpc6,0.4943138741470811
8,Bdnf,0.4943138741470811
8,Gsg1l,0.4943138741470811
8,Ntng1,0.4943138741470811
9,Anln,0.3402547548420869
9,A330049N07Rik,0.3402547548420869
10,Neat1,0.1939428680615267
10,Prr5l,0.1939428680615267
11,Trpc6,0.2634651875638593
11,Stxbp6,0.2634651875638593
11,Adarb2,0.2634651875638593
11,Ntng1,0.2634651875638593
12,Slc4a4,0.5281425891181989
12,Pdzd2,0.5281425891181989
12,Cntnap5b,0.5281425891181989
13,Pdgfra,0.8538701839639015
13,Lhfpl3,0.8538701839639015
14,Foxp2,0.7199558985667034
14,Hs3st4,0.7199558985667034
14,Dpp10,0.7199558985667034
15,Trhr,0.43054277828886844
15,Trpm3,0.43054277828886844
15,Rfx3,0.43054277828886844
15,Stxbp6,0.43054277828886844
16,Gpc6,0.8036822507240381
16,Pdzrn3,0.8036822507240381
16,Tshz2,0.8036822507240381
16,Gm2164,0.8036822507240381
17,2600014E21Rik,0.5778894472361809
17,Dcn,0.5778894472361809
17,Pde11a,0.5778894472361809
18,Dach1,0.7061660351360661
18,9530026P05Rik,0.7061660351360661
19,Arhgap6,0.5434782608695652
19,Adamtsl1,0.5434782608695652
19,Pou6f2,0.5434782608695652
20_1,Gm31218,0.583941605839416
20_1,Nxph2,0.583941605839416
20_2,Tll1,0.668918918918919
20_2,Pvalb,0.668918918918919
20_3,6330411D24Rik,0.65625
20_3,Pvalb,0.65625
21_1,Lypd6,0.62109375
21_1,Sst,0.62109375
21_2,Sst,0.7261410788381742
21_2,Gm45323,0.7261410788381742
21_3,Sst,0.5786736020806242
21_3,Gm38505,0.5786736020806242
22,Col6a1,0.7067545304777595
22,9530026P05Rik,0.7067545304777595
22,Hs3st4,0.7067545304777595
23,Gm6260,0.6387939073671122
23,Fras1,0.6387939073671122
24,Exph5,0.5531839203130559
24,Pdzrn3,0.5531839203130559
24,Efna5,0.5531839203130559
25,Anln,0.5713352921971923
25,Enpp6,0.5713352921971923
26,Gm6145,0.7156557180532247
27,Prlr,0.6462000858737655
27,Vwc2l,0.6462000858737655
27,Tshz2,0.6462000858737655
28,Fbln2,0.5031995346131471
28,Sema3e,0.5031995346131471
28,Slit2,0.5031995346131471
29,Tspan2,0.41201982651796776
30,Sntb1,0.8297690333618477
30,Vwc2l,0.8297690333618477
31,Stk32b,0.5095962938451357
31,Trhr,0.5095962938451357
31,Scn9a,0.5095962938451357
32,Vip,0.8061139028475712
33,Fn1,0.7456922162804516
33,Rxfp1,0.7456922162804516
34,Gfra2,0.511921458625526
34,Il1rapl2,0.511921458625526
34,Pou6f2,0.511921458625526
34,Dpp10,0.511921458625526
35,Dcn,0.5758880516684607
35,6530403H02Rik,0.5758880516684607
35,Ntng1,0.5758880516684607
35,Reln,0.5758880516684607
36,Adarb2,0.7734274711168164
36,Cnr1,0.7734274711168164
37,Hapln1,0.7582322357019065
37,Dchs2,0.7582322357019065
38,Strip2,0.7274401473296501
38,Asph,0.7274401473296501
39,Rnf152,0.5941901408450704
39,Unc13c,0.5941901408450704
39,Dpp10,0.5941901408450704
39,Nrg1,0.5941901408450704
39,Nell1,0.5941901408450704
40,9330185C12Rik,0.6368563685636857
40,Plch1,0.6368563685636857
41,Tll1,0.5829326923076923
41,Pcdh11x,0.5829326923076923
41,Tox,0.5829326923076923
41,Inpp4b,0.5829326923076923
42,Ndnf,0.8818834796488427
42,Dach1,0.8818834796488427
43,Egfr,0.8081896551724138
43,Ndnf,0.8081896551724138
44,Csf2rb2,0.8961303462321792
45,Ccn2,0.7185929648241206
46,Slc1a3,0.20026263952724885
46,Plpp3,0.20026263952724885
46,Rgs20,0.20026263952724885
47,Mrc1,0.8045977011494253
48,Bcas1os2,0.8292282430213465
