clusterName,clusterSize,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,cluster,,,
1,2855,0.3970788244338,0.382185543540125,43828,2171,1512,1343,2,Ptgds|Plp1,Ptgds|Plp1|Mbp|Kirrel3|Lrp1b,Oligo,,,
2,2639,0.393857152313497,0.381777350016041,44288,1927,1449,1190,4,Stxbp6|Adarb2|Slc4a4|Frmd4b,Glis3|Stxbp6|Adarb2|Slc4a4|Trpm3|Frmd4b|Dock10|Ahcyl2|Zbtb20|Egfem1,DG,,,
3,2555,0.842137035919107,0.9068255687974,46127,172,881,1674,1,Gm2629,Ly86|Gm2629|Adap2|Csf3r|Slco2b1|Selplg|Inpp5d|Ikzf1|Dock8|Fli1,Micro,,,
4,2240,0.643905693950178,0.686018957345972,46084,530,1082,1158,4,Gpc5|Gm2164|Pde11a|Galntl6,Matn2|Gpc5|Gm2164|Pde11a|Arhgap12|Galntl6|Gm49678|Hs6st3|Zbtb20|Ntm,CA1,,,
5,1953,0.305957408572199,0.296861377506539,45288,1613,1272,681,4,4930420G21Rik|Neat1|Prr5l|D7Ertd443e,A330049N07Rik|4930420G21Rik|Neat1|Prr5l|D7Ertd443e|Mog|Ugt8a|Erbb4|St6galnac3|Magi2,Oligo,,,
6,1939,0.821952776005105,0.873812754409769,46729,186,651,1288,2,Mndal|Nectin3,Homer3|Mndal|Nectin3|Rerg|Dpf3|Gm32647|Ccbe1|Grik4|Trps1|Tafa1,CA3-do,,,
7,1827,0.628136355770895,0.734817813765182,46765,262,1101,726,4,Stac|Ndst4|Hs6st3|Galntl6,4921539H07Rik|Stac|Ndst4|Gm2164|Hs6st3|Galntl6|Kcnh7|Ppm1e|Fgf14|Cacna1c,CA1-do,,,
8,1767,0.494313874147081,0.540182270091135,46532,555,1115,652,4,Trpc6|Bdnf|Gsg1l|Ntng1,Trpc6|Bdnf|Gsg1l|Stxbp6|Ntng1|Mapk4|Zbtb20|Nrg1|Dgkb|Sorcs3,DG,,,
9,1726,0.340254754842087,0.320460147904684,45474,1654,946,780,2,Anln|A330049N07Rik,Anln|A330049N07Rik|Neat1|Prr5l|Ugt8a|Spock3|Dgki|Auts2,Oligo,,,
10,1625,0.193942868061527,0.163621708758732,41003,6226,407,1218,2,Neat1|Prr5l,Neat1|Prr5l|Ugt8a|Mbp|Edil3|Nkain2|Pcdh9|Auts2|Malat1,Oligo,,,
11,1581,0.263465187563859,0.228336495888678,43613,3660,498,1083,4,Trpc6|Stxbp6|Adarb2|Ntng1,Glis3|Trpc6|Stxbp6|Adarb2|Ntng1|Trpm3|Rfx3|Zbtb20|Ahcyl2|Epha6,DG,,,
12,1418,0.528142589118199,0.575664621676892,47021,415,855,563,3,Slc4a4|Pdzd2|Cntnap5b,Dsp|Hectd2os|Slc4a4|Pdzd2|Ahcyl2|Cntnap5b|Hectd2|Sphkap|Tafa2|Nr3c2,DG,,,
13,1354,0.853870183963901,0.892921960072595,47382,118,370,984,2,Pdgfra|Lhfpl3,Pdgfra|Cacng4|Cspg4|Kcnh8|Lhfpl3|Vcan|Ppfibp1|Ptprz1|Epn2|Pcdh15,OPC,,,
14,1303,0.719955898566703,0.808168316831683,47396,155,650,653,3,Foxp2|Hs3st4|Dpp10,Foxp2|Rai14|Cdh18|Hs3st4|Dpp10|Tle4|Cntnap4|Dlc1|Etl4|Tmem178b,L6b,ENT,,
15,1263,0.430542778288868,0.448705656759348,47016,575,795,468,4,Trhr|Trpm3|Rfx3|Stxbp6,Vwa3a|Trhr|Trpm3|Scn9a|Rfx3|Stxbp6|Grb14|Ahcyl2|Il1rap|Ccdc85a,DG,,,
16,1210,0.803682250724038,0.857615894039735,47515,129,433,777,4,Gpc6|Pdzrn3|Tshz2|Gm2164,Rmst|Gpc6|Pdzrn3|Tshz2|Gm2164|Tox|Cdh20|Mgat4c|Hs6st3|Lrrc4c,L2/3,IT,POST-PRE,
17,1099,0.577889447236181,0.68476357267951,47575,180,708,391,3,2600014E21Rik|Dcn|Pde11a,2600014E21Rik|Ndrg1|Dcn|Ccn3|Grp|Pde11a|Adamtsl1|Ndst3|Cpne7|Cacnb2,CA1-ProS,,,
