clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
1,Ptgds,0.005315976685096773,3.0,0.9411764705882352
1,Plp1,0.0030625749366955755,6.0,0.8823529411764706
1,Mbp,0.004073162327114576,7.0,0.8347338935574229
1,Kirrel3,0.006954775231305133,2.0,0.35294117647058826
1,Lrp1b,0.003528125969772913,7.0,0.0868347338935574
2,Glis3,0.006405261100402979,9.0,0.8976034858387801
2,Stxbp6,0.0056188733570342085,9.0,0.8714596949891069
2,Adarb2,0.004303452759449712,16.0,0.8345588235294118
2,Slc4a4,0.0028079672537799994,8.0,0.8333333333333334
2,Trpm3,0.004016803214225939,27.0,0.8100944081336239
2,Frmd4b,0.002900355510210232,5.0,0.7882352941176469
2,Dock10,0.0028177850728053288,9.0,0.7777777777777777
2,Ahcyl2,0.004615658229849221,17.0,0.7531718569780855
2,Zbtb20,0.003395619814491465,54.0,0.7425562817719681
2,Egfem1,0.003937795919873414,18.0,0.590958605664488
3,Ly86,0.01469706964681124,2.0,1.0
3,Gm2629,0.01359848886497857,1.0,1.0
3,Adap2,0.01284815772439684,1.0,1.0
3,Csf3r,0.010555837870532568,1.0,1.0
3,Slco2b1,0.009863754543664659,1.0,1.0
3,Selplg,0.008565934930929019,1.0,1.0
3,Inpp5d,0.01184643747933559,3.0,0.9934640522875816
3,Ikzf1,0.020838669250492124,2.0,0.9901960784313726
3,Dock8,0.02083426789160387,2.0,0.9803921568627451
3,Fli1,0.0197219566512873,1.0,0.9803921568627451
4,Matn2,0.0059061763436715105,3.0,0.9411764705882354
4,Gpc5,0.007939060530203284,15.0,0.903267973856209
4,Gm2164,0.009695582974852993,5.0,0.9019607843137256
4,Pde11a,0.005164543022788218,2.0,0.8725490196078431
4,Arhgap12,0.004435839547499721,6.0,0.8562091503267976
4,Galntl6,0.0053917557485430355,108.0,0.8457697893972402
4,Gm49678,0.004918193000534481,9.0,0.8017429193899781
4,Hs6st3,0.005960112455679376,54.0,0.7981118373275236
4,Zbtb20,0.004967553324174738,44.0,0.7152406417112297
4,Ntm,0.006200644790955581,32.0,0.6948529411764706
5,A330049N07Rik,0.0022636318706579055,1.0,0.9607843137254902
5,4930420G21Rik,0.002059312569535937,1.0,0.9607843137254902
